Sat.A1Gregorian            Sat.EarthICRF.X           Sat.EarthICRF.Y           Sat.EarthICRF.Z           Sat.EarthICRF.VX          Sat.EarthICRF.VY          Sat.EarthICRF.VZ          
01 Jan 2000 12:00:00.034   6770.999999999968         -6.707405901117284e-06    0.0006582982080708796     -5.292791987044232e-07    5.499999935821625         5.500000064178348         
01 Jan 2000 12:01:00.034   6755.35684149156          329.7457609127699         329.7464320806164         -0.5212204961112934       5.487294029602864         5.487294106473269         
01 Jan 2000 12:02:00.034   6708.505698342218         657.9682865266886         657.9689607562791         -1.039833359966665        5.449249613961995         5.449249639010307         
01 Jan 2000 12:03:00.034   6630.680785134392         983.1531096013632         983.1537837798247         -1.55325087695174         5.386085854023261         5.386085827173013         
01 Jan 2000 12:04:00.034   6522.270579375727         1303.803245345919         1303.803916363551         -2.058922255792501        5.298165633817751         5.298165555251464         
01 Jan 2000 12:05:00.034   6383.815028755977         1618.447708473774         1618.448373239534         -2.554352237445478        5.18599201746928          5.185991887626283         
01 Jan 2000 12:06:00.034   6216.001695195467         1925.649784606003         1925.6504400628           -3.037118416890493        5.05020338926732          5.050203208839762         
01 Jan 2000 12:07:00.034   6019.660887952049         2224.014972661168         2224.015615800874         -3.504887584086042        4.891567363449022         4.891567133376127         
01 Jan 2000 12:08:00.034   5795.759850741645         2512.198527672148         2512.199155550204         -3.955430884951656        4.710973575522061         4.710973296982735         
01 Jan 2000 12:09:00.034   5545.396078951061         2788.912540727169         2788.913150476706         -4.386637631346807        4.509425484581985         4.50942515898587          
01 Jan 2000 12:10:00.034   5269.789852357779         3052.932500933599         3052.93308977898          -4.796527620318393        4.288031329885936         4.288030958863046         
01 Jan 2000 12:11:00.034   4970.276076160836         3303.103293211444         3303.103858481141         -5.183261856287388        4.047994394675864         4.047993980064933         
01 Jan 2000 12:12:00.034   4648.29552847761          3538.344595090679         3538.345134229427         -5.545151604215801        3.790602735802381         3.790602279638095         
01 Jan 2000 12:13:00.034   4305.385615748175         3757.655645263208         3757.65615584334          -5.880665736042644        3.517218539149866         3.517218043649111         
01 Jan 2000 12:14:00.034   3943.170738750357         3960.119366185564         3960.119845917522         -6.188436365783112        3.229267258415902         3.229266725963215         
01 Jan 2000 12:15:00.034   3563.3523712609           4144.905832318294         4144.906279060234         -6.467262799744635        2.928226688792642         2.928226121925012         
01 Jan 2000 12:16:00.034   3167.698950947648         4311.27508442144          4311.275496187905         -6.716113856568147        2.615616117974044         2.615615519365234         
01 Jan 2000 12:17:00.034   2758.035678031286         4458.579298530744         4458.579673500403         -6.93412863665829         2.292985685185104         2.292985057629649         
01 Jan 2000 12:18:00.034   2336.234311830443         4586.264325676635         4586.264662199033         -7.120615841602365        1.96190606515493          1.961905411551965         
01 Jan 2000 12:19:00.034   1904.203048738186         4693.870624971785         4693.870921573143         -7.275051761147759        1.623958578709588         1.62395790204663          
01 Jan 2000 12:20:00.034   1463.876557718426         4781.033618312291         4781.033873700322         -7.397077058129309        1.280725815507827         1.280725118844668         
01 Jan 2000 12:21:00.034   1017.206241305047         4847.483499573649         4847.483712641416         -7.486492490478307        0.9337828379173799        0.9337821243701837        
01 Jan 2000 12:22:00.034   566.1507815742933         4893.044534828548         4893.044704657376         -7.54325371429798         0.5846890186160192        0.5846882913417462        
01 Jan 2000 12:23:00.034   112.6670218669087         4917.633892788541         4917.634018650019         -7.567465313254346        0.2349805486231066        0.2349798108043431        
01 Jan 2000 12:24:00.034   -341.2987736349861        4921.260046419131         4921.260127776194         -7.559374197582311        -0.1138363625234141       -0.1138371076931342       
01 Jan 2000 12:25:00.034   -793.819248840058         4904.020787559477         4904.020824066642         -7.519362511273252        -0.460291586553938        -0.460292335884258        
01 Jan 2000 12:26:00.034   -1242.993847665364        4866.100896470628         4866.100887973399         -7.44794017894925         -0.8029564807803764       -0.8029572310976357       
01 Jan 2000 12:27:00.034   -1686.956251046525        4807.769507626237         4807.76945415971          -7.345737215004908        -1.140448612445068        -1.140449360605177        
01 Jan 2000 12:28:00.034   -2123.881348198408        4729.377211840014         4729.377113626735         -7.213495907263612        -1.471435827986196        -1.471436570886837        
01 Jan 2000 12:29:00.034   -2551.991737683451        4631.35293309005          4631.352790537164         -7.052062976078682        -1.794639699882606        -1.794640434474748        
01 Jan 2000 12:30:00.034   -2969.563759545408        4514.200616245837         4514.200429941558         -6.862381797901756        -2.108838389968513        -2.108839113267223        
01 Jan 2000 12:31:00.034   -3374.933064743469        4378.495759420903         4378.495530130363         -6.645484770187104        -2.412868972854726        -2.412869681949295        
01 Jan 2000 12:32:00.034   -3766.499732369861        4224.881821948104         4224.881550608622         -6.402485882399001        -2.705629266460396        -2.705629958523767        
01 Jan 2000 12:33:00.034   -4142.732948663931        4054.066536085144         4054.066223800929         -6.134573546086326        -2.986079218771033        -2.986079891068566        
01 Jan 2000 12:34:00.034   -4502.175264671496        3866.818147575849         3866.817795612219         -5.843003725681667        -3.253241900930707        -3.253242550828287        
01 Jan 2000 12:35:00.034   -4843.446451574284        3663.961607181375         3663.961216958493         -5.529093401021201        -3.506204156790619        -3.506204781762143        
01 Jan 2000 12:36:00.034   -5165.246974272874        3446.374732308977         3446.374305395162         -5.19421438267281         -3.744116958214504        -3.744117555848764        
01 Jan 2000 12:37:00.034   -5466.361104794899        3214.984354950397         3214.983893055041         -4.839787492071615        -3.966195513920419        -3.966196081927417        
01 Jan 2000 12:38:00.034   -5745.659697568917        2970.762469335369         2970.761974301489         -4.467277110228361        -4.171719177547168        -4.171719713763894        
01 Jan 2000 12:39:00.034   -6002.102648604863        2714.722390038762         2714.721863835218         -4.078186091404087        -4.360031198089382        -4.360031700485082        
01 Jan 2000 12:40:00.034   -6234.741060205593        2447.914928776522         2447.914373489938         -3.674051031618211        -4.530538352953064        -4.530538819634053        
01 Jan 2000 12:41:00.034   -6442.719132050758        2171.424595803843         2171.424013630251         -3.25643787614373         -4.682710500734427        -4.682710929948432        
01 Jan 2000 12:42:00.034   -6625.275798391332        1886.365829701979         1886.36522293821          -2.826937845197167        -4.816080087496093        -4.816080477636207        
01 Jan 2000 12:43:00.034   -6781.746129715237        1593.879257416537         1593.878628451397         -2.387163652798789        -4.930241636870041        -4.930241986478287        
01 Jan 2000 12:44:00.034   -6911.562515632565        1295.12798469546          1295.127336000691         -1.938745990202253        -5.024851250805901        -5.024851558576433        
01 Jan 2000 12:45:00.034   -7014.255643920661        991.2939155718502         991.2932496929197         -1.483330242313721        -5.099626144244808        -5.099626409026785        
01 Jan 2000 12:46:00.034   -7089.455288698797        683.5740982462152         683.5734177929344         -1.022573403080999        -5.154344233459965        -5.15434445426011         
01 Jan 2000 12:47:00.034   -7136.890918600081        373.1770936440152         373.1764012810171         -0.5581411538805664       -5.188843794282626        -5.188843970267495        
01 Jan 2000 12:48:00.034   -7156.392133602475        61.31936205632626         61.31866049341531         -0.09170506741708941      -5.203023202935592        -5.203023333433555        
